front_text,back_text,explanation
Chrzest Polski (rok),0966,Przyjęcie chrztu przez Mieszka I włączyło państwo Polan do kręgu kultury chrześcijańskiej Europy. To symboliczny początek państwa polskiego w historii.
Bitwa pod Cedynią (rok),0972,Wojska Mieszka I pokonały margrabiego Hodona. Zwycięstwo umocniło pozycję Mieszka na zachodniej granicy.
Śmierć świętego Wojciecha (rok),0997,Biskup Wojciech zginął podczas misji chrystianizacyjnej w Prusach. Jego śmierć stała się ważnym argumentem dla wzrostu znaczenia Polski w Europie.
Zjazd w Gnieźnie (rok),1000,Spotkanie Bolesława Chrobrego z cesarzem Ottonem III wzmocniło prestiż Polski. Utworzono niezależną organizację kościelną z arcybiskupstwem w Gnieźnie.
Wyprawa kijowska (rok),1018,Bolesław Chrobry wyprawił się na Ruś i zdobył Kijów. Był to szczyt potęgi militarnej pierwszych Piastów.
Koronacja Bolesława Chrobrego (rok),1025,Bolesław Chrobry został pierwszym królem Polski. Koronacja podniosła rangę państwa polskiego.
Koronacja Mieszka II (rok),1025,Po śmierci Bolesława Chrobrego koronowano Mieszka II Lamberta. Oznaczało to kontynuację królewskiej godności w dynastii Piastów.
Objęcie władzy przez Kazimierza Odnowiciela (rok),1034,Kazimierz Odnowiciel rozpoczął odbudowę państwa po kryzysie monarchii wczesnopiastowskiej. Jego rządy ustabilizowały sytuację wewnętrzną.
Bitwa na Psim Polu (rok),1109,"Według tradycji była to jedna z bitew obronnych przeciw Henrykowi V. W historiografii trwa spór, na ile wydarzenie miało dokładnie taki przebieg."
Podział Polski na dzielnice (rok),1138,Testament Bolesława Krzywoustego wprowadził rozbicie dzielnicowe. Osłabiło to jedność państwa na wiele pokoleń.
Sprowadzenie Krzyżaków do Polski (rok),1226,Konrad Mazowiecki sprowadził Krzyżaków do walki z Prusami. W przyszłości zakon stał się groźnym przeciwnikiem Polski.
"Najazd Tatarów, bitwa pod Legnicą (rok)",1241,Mongołowie najechali Polskę i pokonali rycerstwo pod Legnicą. W bitwie zginął książę Henryk Pobożny.
Synod w Łęczycy (rok),1285,Synod potwierdził przywileje Kościoła i znaczenie języka polskiego w nauczaniu religii. To ważny przykład wzrostu roli polszczyzny.
Koronacja Przemysła II (rok),1295,Przemysł II został królem Polski po okresie rozbicia dzielnicowego. Koronacja symbolizowała próbę odnowienia Królestwa Polskiego.
Koronacja Władysława Łokietka (rok),1320,Łokietek zjednoczył znaczną część ziem polskich i koronował się na króla. Uznaje się to za odnowienie Królestwa Polskiego.
Początek wojny z Zakonem Krzyżackim (rok),1327,Rozpoczął się nowy etap walk Polski z Krzyżakami. Konflikt dotyczył głównie Pomorza i wpływów w regionie.
Bitwa pod Płowcami (rok),1331,"Starcie z Krzyżakami miało duże znaczenie moralne dla Polski. Pokazało, że zakon nie jest przeciwnikiem niezwyciężonym."
Zjazd w Wyszehradzie (rok),1335,Na zjeździe rozstrzygano spory Polski z Czechami i Krzyżakami. Kazimierz Wielki umocnił pozycję dyplomatyczną państwa.
Zawarcie pokoju w Kaliszu (rok),1343,Polska zawarła pokój z Krzyżakami po wcześniejszych wojnach. Kazimierz Wielki odzyskał Kujawy i ziemię dobrzyńską.
Unia polsko-litewska (rok),1385,W Krewie zawarto unię Polski z Litwą. Zapoczątkowała ona wspólną drogę obu państw pod rządami Jagiełły.
Bitwa pod Grunwaldem (rok),1410,Wojska polsko-litewskie rozbiły armię krzyżacką. Było to jedno z największych zwycięstw militarnych w dziejach Polski.
Pokój w Toruniu (rok),1411,"Zakończył wielką wojnę z zakonem krzyżackim. Warunki pokoju były korzystne, ale nie zlikwidowały potęgi zakonu."
Unia w Horodle (rok),1413,Unia pogłębiła współpracę Polski i Litwy. Część litewskich bojarów została włączona do polskiego systemu heraldycznego.
Wojna z Krzyżakami (lata),1431-1435,Był to kolejny konflikt Polski i Litwy z zakonem krzyżackim. Wojna zakończyła się osłabieniem wpływów Krzyżaków.
Zjazd w Sieradzu (rok),1432,Na zjeździe omawiano sprawy następstwa tronu i polityki wewnętrznej. Był to ważny element walk politycznych po śmierci Jagiełły.
Przywilej jedlneńsko-krakowski (rok),1433,Przywilej gwarantował szlachcie nietykalność osobistą bez wyroku sądu. Wzmacniał pozycję stanu szlacheckiego.
Bitwa pod Warną (rok),1444,W bitwie z Turkami zginął król Władysław Warneńczyk. Klęska zahamowała plany krucjaty przeciw imperium osmańskiemu.
Wojna trzynastoletnia (lata),1454-1466,Długa wojna Polski z Krzyżakami toczyła się o Pomorze Gdańskie. Zakończyła się dużym sukcesem Polski.
Bitwa pod Świecinem (rok),1462,Było to ważne zwycięstwo wojsk polskich nad Krzyżakami w czasie wojny trzynastoletniej. Umocniło ono przewagę strony polskiej.
II pokój w Toruniu (rok),1466,Pokój kończący wojnę trzynastoletnią przyniósł Polsce Pomorze Gdańskie i Prusy Królewskie. Krzyżacy stali się lennikami króla polskiego.
Statuty piotrkowskie (rok),1496,Akty prawne umocniły przewagę szlachty nad innymi stanami. Ograniczono między innymi możliwość opuszczania wsi przez chłopów.
Uchwalenie konstytucji Nihil novi (rok),1505,Ustawa ograniczyła samodzielną władzę monarchy. Od tej pory nowe prawa wymagały zgody sejmu.
Ostatnia wojna z Krzyżakami (lata),1519-1521,Był to ostatni zbrojny konflikt Polski z zakonem krzyżackim. Wojna przygotowała grunt pod sekularyzację państwa zakonnego.
Hołd Pruski (rok),1525,Albrecht Hohenzollern złożył hołd lenny Zygmuntowi Staremu. Państwo zakonne zostało przekształcone w świeckie Prusy Książęce.
Unia lubelska z Litwą (rok),1569,Polska i Litwa utworzyły Rzeczpospolitą Obojga Narodów. Powstało jedno z największych państw Europy.
Unia sandomierska (rok),1570,Porozumienie między protestantami miało wzmocnić ich pozycję religijną i polityczną. Był to przykład tolerancji wyznaniowej w Rzeczypospolitej.
"Konfederacja warszawska, pierwsza wolna elekcja (rok)",1573,Konfederacja gwarantowała pokój religijny między wyznaniami. W tym samym roku przeprowadzono pierwszą wolną elekcję króla.
Unia brzeska (rok),1596,"Część duchowieństwa prawosławnego uznała zwierzchność papieża, zachowując obrządek wschodni. Doprowadziło to do powstania Kościoła unickiego."
Początek wojny ze Szwedami (rok),1600,Rozpoczął się długi konflikt Rzeczypospolitej ze Szwecją o Inflanty i tron. Wojny te mocno obciążały państwo.
Bitwa pod Kircholmem (rok),1605,Wojska hetmana Jana Karola Chodkiewicza rozgromiły armię szwedzką. To jedno z najsłynniejszych zwycięstw husarii.
Rokosz Zebrzydowskiego (lata),1606-1609,Część szlachty zbuntowała się przeciw Zygmuntowi III Wazie. Rokosz pokazał napięcia między królem a szlachtą.
Bitwa pod Kłuszynem (rok),1610,Hetman Stanisław Żółkiewski pokonał wojska rosyjskie i szwedzkie. Zwycięstwo otworzyło Polakom drogę do Moskwy.
Wojna trzydziestoletnia (lata),1618-1648,"Wielki konflikt religijno-polityczny ogarnął znaczną część Europy. Rzeczpospolita nie była główną stroną wojny, ale odczuwała jej skutki polityczne."
Rozejm ze Szwedami w Mitawie (rok),1622,Zawarto czasowe zawieszenie broni w wojnie ze Szwecją. Nie rozwiązało ono jednak trwale sporu między państwami.
Bitwa morska pod Oliwą (rok),1627,Polska flota odniosła zwycięstwo nad Szwedami na Bałtyku. To jedno z najważniejszych wydarzeń w historii polskiej marynarki.
Pokój w Altmarku (rok),1629,Rozejm kończył kolejny etap wojny polsko-szwedzkiej. Był niekorzystny dla Rzeczypospolitej gospodarczo i strategicznie.
Wojna polsko-rosyjska (lata),1609-1618,Konflikt rozpoczął się w czasie wielkiej smuty w Rosji. Polska próbowała wykorzystać kryzys u wschodniego sąsiada.
Wojny polsko-tureckie (lata),1620-1699,Seria konfliktów z Imperium Osmańskim trwała przez wiele dziesięcioleci. Ich stawką było bezpieczeństwo południowo-wschodnich granic.
Klęska pod Cecorą (rok),1620,Wojska Rzeczypospolitej poniosły porażkę w starciu z Turkami i Tatarami. W bitwie zginął hetman Stanisław Żółkiewski.
Bitwa pod Chocimiem (rok),1621,Armia polsko-litewska powstrzymała ofensywę turecką. Obrona Chocimia miała ogromne znaczenie militarne i propagandowe.
Powstanie Chmielnickiego (lata),1648-1657,Powstanie Kozaków pod wodzą Bohdana Chmielnickiego wstrząsnęło Rzecząpospolitą. Osłabiło państwo i pogłębiło kryzys na wschodzie.
Potop szwedzki (lata),1655-1660,Najazd szwedzki doprowadził do ogromnych zniszczeń i osłabienia Rzeczypospolitej. Był jednym z najcięższych kryzysów w jej dziejach.
Oblężenie Jasnej Góry (rok),1655,Obrona klasztoru stała się ważnym symbolem oporu przeciw Szwedom. W kulturze polskiej wydarzenie urasta do rangi symbolu patriotycznego.
Śluby lwowskie (rok),1656,Król Jan Kazimierz ogłosił Matkę Bożą patronką Polski. Akt miał znaczenie religijne i polityczne w czasie potopu.
Wygnanie braci polskich (arian) (rok),1658,Sejm nakazał arianom opuszczenie kraju lub przejście na katolicyzm. Był to koniec jednego z nurtów reformacji w Polsce.
Pokój w Oliwie (rok),1660,Traktat zakończył wojnę polsko-szwedzką z okresu potopu. Polska zrzekła się pretensji do tronu szwedzkiego.
Pierwsze użycie liberum veto (rok),1669,Za symboliczny początek praktyki uznaje się zerwanie sejmu przez jednego posła. Mechanizm ten w przyszłości paraliżował państwo.
"Najazd turecki na Polskę, zdobycie przez Turków Kamieńca Podolskiego (rok)",1672,Imperium Osmańskie uderzyło na Rzeczpospolitą i zdobyło ważną twierdzę. Wydarzenie ujawniło słabość państwa.
Zwycięstwo pod Chocimiem (rok),1673,Jan Sobieski odniósł wielkie zwycięstwo nad Turkami. Sukces ten bardzo wzmocnił jego pozycję polityczną.
Odsiecz wiedeńska (rok),1683,Jan III Sobieski pomógł rozbić wojska tureckie oblegające Wiedeń. Było to jedno z najgłośniejszych zwycięstw Rzeczypospolitej.
Pokój w Karłowicach (rok),1699,Traktat zakończył długi okres wojen z Turcją. Rzeczpospolita odzyskała między innymi Podole.
Sejm niemy (rok),1717,"Sejm przeprowadzono bez normalnej debaty, aby zakończyć konflikt wewnętrzny. Wydarzenie pokazało rosnący wpływ Rosji na sprawy polskie."
Wojna o sukcesję polską (lata),1733-1735,Po śmierci Augusta II wybuchł konflikt o tron polski. O wyniku w dużej mierze decydowały mocarstwa obce.
Konfederacja barska (lata),1768-1772,Szlachta wystąpiła przeciw wpływom rosyjskim i królowi Stanisławowi Augustowi. Był to jeden z pierwszych zrywów w obronie niepodległości.
I rozbiór Polski (rok),1772,"Rosja, Prusy i Austria dokonały pierwszego rozbioru Rzeczypospolitej. Państwo utraciło znaczną część terytorium."
Sejm Czteroletni (Wielki) (lata),1788-1792,Sejm próbował naprawić ustrój państwa i wzmocnić Rzeczpospolitą. Najważniejszym efektem była Konstytucja 3 Maja.
Uchwalenie Konstytucji 3 Maja (rok),1791,Była to pierwsza nowoczesna konstytucja w Europie i druga na świecie. Miała reformować i wzmacniać państwo.
Konfederacja targowicka (rok),1792,Magnaci przeciwni reformom wezwali na pomoc Rosję. Działania targowiczan doprowadziły do upadku Konstytucji 3 Maja.
II rozbiór Polski (rok),1793,Rosja i Prusy dokonały drugiego rozbioru Polski. Rzeczpospolita została jeszcze bardziej osłabiona.
"Powstanie kościuszkowskie, bitwa pod Racławicami (rok)",1794,Insurekcja pod wodzą Tadeusza Kościuszki była próbą ratowania państwa. Zwycięstwo pod Racławicami miało duże znaczenie symboliczne.
III rozbiór Polski (rok),1795,Trzeci rozbiór doprowadził do zniknięcia Polski z mapy Europy. Państwo przestało istnieć na 123 lata.
Powstanie Legionów Polskich we Włoszech (rok),1797,"Legiony tworzone u boku Napoleona dawały nadzieję na odzyskanie niepodległości. Z nimi wiąże się także pieśń, która stała się hymnem Polski."
Powstanie wielkopolskie (rok),1806,W Wielkopolsce wybuchło powstanie przeciw Prusom wspierające Napoleona. Przyczyniło się ono do zmian politycznych na ziemiach polskich.
Utworzenie Księstwa Warszawskiego (rok),1807,Napoleon utworzył zależne od Francji państwo polskie. Dawało ono Polakom częściową odbudowę własnej państwowości.
Wojna z Austrią (rok),1809,Wojna przyniosła Księstwu Warszawskiemu powiększenie terytorium. Był to kolejny etap walk u boku Napoleona.
Utworzenie Królestwa Polskiego (rok),1816,"Po kongresie wiedeńskim powstało Królestwo Polskie związane unią personalną z Rosją. Miało własną konstytucję, ale ograniczoną suwerenność."
Powstanie Towarzystwa Filomatów (rok),1817,W Wilnie młodzież akademicka założyła tajne stowarzyszenie samokształceniowe. Z ruchem tym byli związani między innymi Adam Mickiewicz i jego przyjaciele.
Powstanie Zgromadzenia Filaretów (rok),1820,Filareci rozwijali idee patriotyczne i samokształceniowe wśród młodzieży. Organizacja była kontynuacją działalności filomatów.
Wybuch powstania listopadowego (data),1830-11-29,Powstanie rozpoczęło się nocą z 29 na 30 listopada w Warszawie. Był to zryw przeciw panowaniu rosyjskiemu.
Bitwa o Olszynkę Grochowską (rok),1831,Jedna z najważniejszych bitew powstania listopadowego zatrzymała marsz Rosjan na Warszawę. Starcie było krwawe i nierozstrzygnięte.
Wybuch powstania krakowskiego (rok),1846,"Powstanie miało ogarnąć ziemie polskie pod zaborami, ale szybko upadło. W tym samym czasie doszło też do rabacji galicyjskiej."
Wybuch powstania styczniowego (data),1863-01-22,Powstanie rozpoczęło się 22 stycznia i miało charakter partyzancki. Było najdłuższym polskim zrywem narodowym w XIX wieku.
Strajk Dzieci Wrzesińskich (rok),1901,Dzieci i ich rodzice protestowali przeciw germanizacji w szkole. Sprawa stała się symbolem oporu wobec polityki pruskiej.
I wojna światowa (lata),1914-1918,Wielka wojna doprowadziła do upadku trzech mocarstw zaborczych. Dzięki temu otworzyła Polakom drogę do odzyskania niepodległości.
Utworzenie I Kompanii Kadrowej (rok),1914,Oddział Piłsudskiego wyruszył z Krakowa do Królestwa Polskiego. Wydarzenie stało się ważnym symbolem czynu niepodległościowego.
Utworzenie Polskiej Organizacji Wojskowej przez Józefa Piłsudskiego (rok),1914,POW była tajną organizacją wojskową działającą na rzecz niepodległości. Odegrała ważną rolę w końcowym okresie I wojny światowej.
Utworzenie Komitetu Narodowego Polski (rok),1914,Powstał ośrodek polityczny reprezentujący polskie interesy na arenie międzynarodowej. W praktyce podobne struktury ewoluowały później wraz ze zmianą sytuacji wojennej.
Powstanie Tymczasowej Rady Stanu (rok),1917,Był to organ utworzony przez państwa centralne na ziemiach polskich. Miał ograniczone kompetencje i przygotowywał grunt pod dalsze zmiany ustrojowe.
Utworzenie Armii Polskiej we Francji (rok),1917,Tak zwana Błękitna Armia powstała we Francji pod polskim dowództwem. Stała się ważną siłą militarną odradzającej się Polski.
Kryzys przysięgowy w Legionach Polskich (rok),1917,Część legionistów odmówiła złożenia przysięgi na wierność państwom centralnym. Wydarzenie doprowadziło do internowań i osłabiło Legiony.
Rozpoczęcie rządów przez Radę Regencyjną (rok),1917,Rada Regencyjna pełniła funkcję namiastki władz polskich przed odzyskaniem niepodległości. Przekazała później władzę Józefowi Piłsudskiemu.
Odzyskanie niepodległości (data),1918-11-11,11 listopada przyjmuje się symbolicznie jako dzień odzyskania niepodległości przez Polskę. Proces odbudowy państwa trwał jednak dłużej niż jeden dzień.
Nadanie Polkom praw wyborczych (rok),1918,Polki uzyskały czynne i bierne prawa wyborcze. Był to bardzo nowoczesny krok na tle wielu państw Europy.
Powstanie Wielkopolskie (lata),1918-1919,Powstanie zakończyło się sukcesem i przyłączeniem większości Wielkopolski do Polski. To jeden z nielicznych zwycięskich polskich zrywów.
Uchwalenie Małej Konstytucji (rok),1919,Akt ten tymczasowo regulował ustrój odrodzonego państwa. Porządkował relacje między naczelnikiem państwa a sejmem.
Powstania Śląskie (lata),1919-1921,Były to trzy zrywy ludności polskiej na Górnym Śląsku. Miały wpływ na podział regionu między Polskę a Niemcy.
Wojna polsko-bolszewicka (lata),1919-1921,Wojna decydowała o kształcie wschodnich granic Polski i losie niepodległości. Zwycięstwo Polaków zahamowało marsz bolszewików na zachód.
Zaślubiny Polski z morzem (rok),1920,Generał Józef Haller dokonał symbolicznych zaślubin Polski z Bałtykiem. Wydarzenie podkreślało odzyskanie dostępu do morza.
Bitwa warszawska (cud nad Wisłą) (data),1920-08-12,Decydujące zwycięstwo nad Armią Czerwoną uratowało niepodległość Polski. Bitwa jest uznawana za jedno z przełomowych starć XX wieku.
Bunt Żeligowskiego (rok),1920,Lucjan Żeligowski upozorował bunt i zajął Wilno. Wydarzenie doprowadziło do utworzenia Litwy Środkowej.
"Traktat ryski, ustanowienie granic Polski (rok)",1921,Pokój w Rydze zakończył wojnę polsko-bolszewicką. Ustalono wschodnią granicę II Rzeczypospolitej.
Konstytucja marcowa (rok),1921,Konstytucja wprowadzała demokratyczny system parlamentarny. Ograniczała silną władzę wykonawczą.
Przewrót majowy marszałka Józefa Piłsudskiego (rok),1926,Piłsudski przejął władzę po zbrojnym zamachu stanu. Wydarzenie zapoczątkowało rządy sanacji.
Zajęcie Zaolzia przez Polskę (rok),1938,Polska zajęła sporny obszar Zaolzia po osłabieniu Czechosłowacji. Do dziś wydarzenie to bywa oceniane krytycznie.
Zerwanie przez Niemcy paktu o nieagresji z Polską (rok),1939,III Rzesza wypowiedziała układ z 1934 roku. Był to jeden z sygnałów zbliżającej się wojny.
"Wybuch II wojny światowej, atak Niemiec na Polskę (data)",1939-09-01,Niemcy napadły na Polskę 1 września 1939 roku. Rozpoczęło to II wojnę światową w Europie.
Obrona Wizny (rok),1939,Niewielkie polskie siły długo broniły się przeciw wielokrotnie silniejszemu przeciwnikowi. Obrona Wizny bywa nazywana polskimi Termopilami.
Bitwa nad Bzurą (rok),1939,Była to największa bitwa kampanii wrześniowej. Mimo początkowych sukcesów zakończyła się klęską wojsk polskich.
Atak Związku Sowieckiego na Polskę (data),1939-09-17,17 września Armia Czerwona wkroczyła na wschodnie ziemie Polski. Agresja była skutkiem tajnego porozumienia niemiecko-sowieckiego.
Powstanie i działalność Polskiego Państwa Podziemnego (lata),1939-1945,"Pod okupacją działały tajne struktury państwowe, wojskowe i edukacyjne. Było to zjawisko wyjątkowe na skalę europejską."
Mord katyński (rok),1940,NKWD zamordowało tysiące polskich oficerów i przedstawicieli elit. Przez lata ZSRR fałszował odpowiedzialność za tę zbrodnię.
Podpisanie układu Sikorski–Majski (rok),1941,Układ przywracał stosunki dyplomatyczne między Polską a ZSRR po ataku Niemiec na Związek Sowiecki. Otworzył drogę do formowania armii Andersa.
Utworzenie Armii Krajowej (rok),1942,Armia Krajowa stała się główną siłą zbrojną polskiego podziemia. Podlegała rządowi RP na uchodźstwie.
Akcja pod Arsenałem (rok),1943,Oddziały Szarych Szeregów odbiły więźniów przewożonych przez Niemców. Akcja stała się jednym z symboli walki młodzieży w okupowanej Warszawie.
Powstanie w getcie warszawskim (rok),1943,Był to zbrojny opór ludności żydowskiej przeciw likwidacji getta. Powstanie ma ogromne znaczenie symboliczne w historii Holokaustu.
Katastrofa w Gibraltarze (rok),1943,W katastrofie lotniczej zginął premier Władysław Sikorski. Okoliczności śmierci do dziś budzą zainteresowanie i spory.
Bitwa o Monte Cassino (data),1944-01-17,Polski 2 Korpus odegrał kluczową rolę w zdobyciu klasztoru Monte Cassino. Zwycięstwo otworzyło aliantom drogę na Rzym.
Wybuch Powstania Warszawskiego (data),1944-08-01,Powstanie miało wyzwolić stolicę przed wejściem Armii Czerwonej. Po 63 dniach walk zakończyło się klęską i zagładą miasta.
Utworzenie Narodowego Zjednoczenia Wojskowego (rok),1944,NZW było organizacją niepodległościową działającą przeciw władzy komunistycznej. Należało do powojennego podziemia antykomunistycznego.
Konferencja w Jałcie (rok),1945,Przywódcy alianccy ustalali powojenny porządek w Europie. Decyzje konferencji miały ogromny wpływ na los Polski.
Obława augustowska (rok),1945,Była to wielka operacja NKWD i komunistycznych służb przeciw podziemiu niepodległościowemu. Los wielu ofiar do dziś nie został w pełni wyjaśniony.
Konferencja w Poczdamie (rok),1945,Na konferencji potwierdzono między innymi nowe granice i przesunięcia terytorialne w Europie. Polska znalazła się w strefie wpływów ZSRR.
Rozpoczęcie rządów komunistów w Polsce (rok),1945,Po wojnie władzę przejęli komuniści wspierani przez Związek Sowiecki. Oznaczało to utratę realnej suwerenności politycznej.
Referendum ludowe (rok),1946,Referendum zostało sfałszowane przez komunistów. Stało się narzędziem legitymizowania nowej władzy.
Polska w okresie stalinizmu (lata),1947-1956,"Był to czas terroru politycznego, centralnego sterowania gospodarką i silnej propagandy. Państwo było podporządkowane modelowi sowieckiemu."
Poznański czerwiec ’56 (rok),1956,Robotniczy protest w Poznaniu został krwawo stłumiony. Wydarzenia te zapoczątkowały polityczne przemiany października 1956.
Wydarzenia zielonogórskie (rok),1960,Doszło do starć mieszkańców z milicją w obronie Domu Katolickiego. Wydarzenie pokazało napięcie między państwem komunistycznym a Kościołem.
Marzec ’68 (rok),1968,Kryzys polityczny połączony z protestami studenckimi i kampanią antysemicką wstrząsnął PRL. Wielu obywateli pochodzenia żydowskiego zostało zmuszonych do emigracji.
Wypadki grudniowe (rok),1970,Na Wybrzeżu protesty robotnicze zostały brutalnie stłumione przez władze. Kryzys doprowadził do zmiany ekipy rządzącej.
Wydarzenia radomskie (rok),1976,"Robotnicy protestowali przeciw podwyżkom cen, a władza użyła represji. Wydarzenia przyspieszyły tworzenie zorganizowanej opozycji."
Powstanie Komitetu Obrony Robotników (KOR) (rok),1976,KOR udzielał pomocy represjonowanym robotnikom i ich rodzinom. Stał się ważnym środowiskiem opozycji demokratycznej.
Wybór Karola Wojtyły na Papieża (rok),1978,Metropolita krakowski został papieżem jako Jan Paweł II. Wydarzenie miało ogromne znaczenie religijne i polityczne dla Polaków.
Pierwsza pielgrzymka Jana Pawła II do Polski (rok),1979,Wizyta papieża wzmocniła społeczne poczucie jedności i nadziei. Była jednym z impulsów dla przemian prowadzących do narodzin Solidarności.
Sierpień ’80 (rok),1980,"Fala strajków objęła wiele zakładów pracy, zwłaszcza na Wybrzeżu. Protesty doprowadziły do ustępstw władz."
Podpisanie porozumień sierpniowych (rok),1980,"Władze zgodziły się na część postulatów strajkujących, w tym na niezależne związki zawodowe. Był to przełom w historii PRL."
Powstanie NSZZ „Solidarność” (rok),1980,"Solidarność stała się masowym, niezależnym ruchem społecznym. Była największym ruchem opozycyjnym w bloku wschodnim."
Wprowadzenie stanu wojennego w Polsce (rok),1981,"Władze komunistyczne próbowały zdławić opozycję i Solidarność. Internowano tysiące osób, a życie publiczne zostało silnie ograniczone."
Zabójstwo księdza Jerzego Popiełuszki (rok),1984,Kapelan Solidarności został zamordowany przez funkcjonariuszy aparatu bezpieczeństwa. Zbrodnia wywołała ogromne oburzenie społeczne.
Obrady Okrągłego Stołu (rok),1989,Rozmowy władz z opozycją otworzyły drogę do pokojowej zmiany ustroju. Był to początek końca systemu komunistycznego w Polsce.
Koniec komunizmu w Polsce (rok),1989,W 1989 roku rozpoczął się upadek systemu komunistycznego. Polska weszła na drogę przemian demokratycznych.
Początek III RP (rok),1989,Po przełomie 1989 roku zaczęła kształtować się III Rzeczpospolita. Oznaczało to budowę nowego porządku politycznego i gospodarczego.
Wstąpienie Polski do NATO (data),1999-03-12,Polska została członkiem NATO 12 marca 1999 roku. Był to ważny krok dla bezpieczeństwa państwa.
Wstąpienie Polski do Unii Europejskiej (data),2004-05-01,Polska przystąpiła do Unii Europejskiej 1 maja 2004 roku. Otworzyło to nowy etap integracji politycznej i gospodarczej.
Katastrofa smoleńska (data),2010-04-10,W katastrofie lotniczej pod Smoleńskiem zginął prezydent Lech Kaczyński i wiele ważnych osób w państwie. Wydarzenie silnie wpłynęło na polskie życie publiczne.